Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71S7qE4ISOL._AC_SL1500_b9d7bcd6-ad5c-40ae-8f4c-5a797005aa9c.jpg?v=1763434270,4,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81BgVAJPfdL._AC_SL1500_48b2d203-5f18-4a07-b431-c18f3617c1ca.jpg?v=1763434270,5,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81gaKjKstuL._AC_SL1500_6ce5dcd9-0d93-4abb-a24f-fd4a929a8eea.jpg?v=1763434270,6,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81nZ7m21YZL._AC_SL1500_84c1a241-0839-4a84-8393-fb5772757f8e.jpg?v=1763434270,7,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81oFIbc7BvL._AC_SL1500_f2eaa653-5c11-4a30-b182-ae1555163c8d.jpg?v=1763434270,8,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/ea75b65af81c4e21b19dfcbeb8a5b809.thumbnail.0000000000.jpg?v=1763434270,9,"",,,,,,,,
giant-dog-bone-grass-fed-beef-femur-bone-for-large-dogs,Giant Dog Bone - Grass-Fed Beef Femur Bone for Large Dogs,"<div class=""product-attributes"">
 <div class=""attribute-container"">
  <img alt=""EcoKind pet treats are preservative free"" src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/preservative_free_dog_treat_100x100.png"">
  <h3>
   No Preservatives
  </h3>
 </div>
 <div class=""attribute-container"">
  <img alt=""EcoKind Himalayan Yak Chews are 100% lactose free"" src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/lactose_free_02032474-cfa8-4809-8c91-e4b71213b794_100x100.png"">
  <h3>
   No Lactose
  </h3>
 </div>
</div>
<!-- split -->
<p>
 EcoKind Giant Dog Bones are the perfect chew for your furry friend. All of our bones go through strict quality testing and are always 100% free of gluten, soy and wheat! What's more, they're free of any harmful additives or artificial flavors that could be bad for your pup. If you want to give your furry friend something they'll love, this is the perfect treat. Our dog treats are sourced from 100% grass-fed cattle and packed with protein and vitamins.
</p>
<ul>
 <li>
  Made from only grass-fed cattle
 </li>
 <li>
  Best bone for large dogs
 </li>
 <li>
  No chemicals, no additives, and no preserves
 </li>
 <li>
  Long-lasting, even for the most aggressive chewers
 </li>
 <li>
  Easily digestible for sensitive stomachs
 </li>
</ul>
<h2>
 Big Bones for Big Dogs
</h2>
<p>
 Meticulously slow-roasted to lock in all the meaty goodness your pup craves, EcoKind's GIANT dog bones will make your doggy jump up and down from joy. These bones are HUGE and are best suited for large dogs and aggressive chewers.
</p>
<h2>
 Real Bones for Dogs
</h2>
<p>
 EcoKind's Giant Dog Bones are always made from 100% free-range, grass-fed beef. All-natural dog bones are easily digestible and best for dogs with sensitive stomachs - much safer than those plastic and nylon chew toys.
</p>
<h2>
 No Chemicals or Additives, Ever.
 <br>
</h2>
<p>
 Unlike so many competitors in the pet care industry, EcoKind's Giant dog bones for aggressive chewers are 100% natural and completely preservative-free. Spoil your pup with this delicious, meaty, and flavorful GIANT femur bone for dogs!
</p>
<h2>
 Healthy for Teeth &amp; Gums
 <br>
</h2>
<p>
 Our protein-rich dog bones for aggressive chewers will help prevent tartar and plaque build-up while strengthening your doggy’s jaws and keeping teeth clean! Plus, each large bone contains essential fatty acids, minerals, and vitamins for a balanced diet.
</p>
<h2>
 Every Dog Loves a Bone
</h2>
<p>
 Our femur bones feature 2 large knuckles and pieces of tendon and meat, which will offer your large doggo endless hours of chewing fun!  Your dog deserves the very best bone to chew -- that's why EcoKind bones are made of only one ingredient: beef!
</p>
<h2>
 100% Risk-Free
</h2>
<p>
 Being dog owners ourselves, we know that finding healthy femur bones for dogs is difficult. That’s why our dog bone comes with a satisfaction guarantee! If you're not completely satisfied with your Giant Dog Bone, contact us for a full refund.
</p>
",DC-EcoKind Pet Treats,,"","Pets, Treats & Feeding",true,Option,Default Title,,,,,,,,DC-262390,0.0,dropcommercev2,deny,dropcommercev2,42.08,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/bones.png?v=1763434273,1,"",false,,,,kg,,29.45,active
giant-dog-bone-grass-fed-beef-femur-bone-for-large-dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/15_4.jpg?v=1763434272,2,"",,,,,,,,
giant-dog-bone-grass-fed-beef-femur-bone-for-large-dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/15_6.jpg?v=1763434272,3,"",,,,,,,,
giant-dog-bone-grass-fed-beef-femur-bone-for-large-dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/15_7.jpg?v=1763434273,4,"",,,,,,,,
giant-dog-bone-grass-fed-beef-femur-bone-for-large-dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/EcoKind_Giant_Dog_Bone-1.jpg?v=1763434272,5,"",,,,,,,,
giant-dog-bone-grass-fed-beef-femur-bone-for-large-dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/EcoKind_Giant_Dog_Bone-2.jpg?v=1763434272,6,"",,,,,,,,
giant-dog-bone-grass-fed-beef-femur-bone-for-large-dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/EcoKind_Giant_Dog_Bone-5.jpg?v=1763434272,7,"",,,,,,,,
